AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
CPRDAurum_PrimaryMalignancy_Oesophageal,x,CPRD_PRI_OESOPH,Primary Malignancy - Oesophageal,Primary Malignancy - Oesophageal,Primary Malignancy - Oesophageal,malig_pri_oesoph,Cancers,1,
CPRDAurum_PrimaryMalignancy_Oropharyngeal,x,CPRD_PRI_OROPH,Primary Malignancy - Oropharyngeal,Primary Malignancy - Oropharyngeal,Primary Malignancy - Oropharyngeal,malig_pri_oroph,Cancers,1,
CPRDAurum_PrimaryMalignancy_other,x,CPRD_PRI_OTHER,Primary Malignancy - other,Primary Malignancy - other,Primary Malignancy - other,malig_pri_other,Cancers,1,
CPRDAurum_PrimaryMalignancy_Ovary,x,CPRD_PRI_OVARIAN,Primary Malignancy - Ovary,Primary Malignancy - Ovary,Primary Malignancy - Ovary,malig_pri_ovarian,Cancers,1,
CPRDAurum_PrimaryMalignancy_Pancreas,x,CPRD_PRI_PANCR,Primary Malignancy - Pancreas,Primary Malignancy - Pancreas,Primary Malignancy - Pancreas,malig_pri_pancr,Cancers,1,
CPRDAurum_PrimaryMalignancy_Prostate,x,CPRD_PRI_PROST,Primary Malignancy - Prostate,Primary Malignancy - Prostate,Primary Malignancy - Prostate,malig_pri_prost,Cancers,1,
CPRDAurum_PrimaryMalignancy_Skin,How does this compare with row 2? Is it a duplicate?,CPRD_PRI_SKIN,Primary Malignancy - Skin,Primary Malignancy - Skin,Primary Malignancy - Skin,malig_pri_skin,Cancers,1,
CPRDAurum_PrimaryMalignancy_Stomach,x,CPRD_PRI_STOMACH,Primary Malignancy - Stomach,Primary Malignancy - Stomach,Primary Malignancy - Stomach,malig_pri_stomach,Cancers,1,
CPRDAurum_PrimaryMalignancy_Testis,x,CPRD_PRI_TESTIS,Primary Malignancy - Testis,Primary Malignancy - Testis,Primary Malignancy - Testis,malig_pri_testis,Cancers,1,
CPRDAurum_PrimaryMalignancy_Thyroid,x,CPRD_PRI_THYROID,Primary Malignancy - Thyroid,Primary Malignancy - Thyroid,Primary Malignancy - Thyroid,malig_pri_thyroid,Cancers,1,
CPRDAurum_PrimaryMalignancy_Uterus,x,CPRD_PRI_UTERINE,Primary Malignancy - Uterus,Primary Malignancy - Uterus,Primary Malignancy - Uterus,malig_pri_uterine,Cancers,1,
CPRDAurum_PrimaryPulmonaryHypertension,x,CPRD_PRIM_PULM_HTN,Primary Pulmonary Hypertension,Primary Pulmonary Hypertension,Primary Pulmonary Hypertension,pulm_htn_pri,Circulatory System Diagnoses,,
CPRDAurum_PrimaryThrombocytopaenia,x,CPRD_PRI_THROMBOCYTOPAENIA,Primary thrombocytopaenia,Primary thrombocytopaenia,Primary thrombocytopaenia,pri_thrombocytopaenia,Blood and Immune System Diagnoses,,
Psoriasis_birm_cam,bigger list,CPRD_PSORIASIS,Psoriasis,Psoriasis,Psoriasis,psoriasis,Skin Diagnoses,,
PsoriaticArthritis2021_MM_birm_cam,bigger list,CPRD_PSA,Psoriatic Arthritis,Psoriatic Arthritis,Psoriatic Arthritis,psa,Musculoskeletal Diagnoses,,
CPRDAurum_Ptosis_Eyelid_Vet,x,CPRD_PTOSIS,Ptosis,Ptosis,Ptosis,ptosis,Eye Diagnoses,,
CPRDAurum_Pulmonary_Collapse_vet,x,CPRD_PULM_COLLAPSE,Pulmonary Collapse,Pulmonary Collapse,Pulmonary Collapse,pulm_collapse,Respiratory System Diagnoses,,
Pulmonary_Embolism_PE_IncidenceV2_birm_cam,x,CPRD_PE,Pulmonary Embolism,Pulmonary Embolism,Pulmonary Embolism,pe,Circulatory System Diagnoses,,
CysticFibrosis_birm_cam,x,CPRD_PULM_FIBROSIS,Pulmonary Fibrosis,Pulmonary Fibrosis,Pulmonary Fibrosis,pulm_fibrosis,Respiratory System Diagnoses,,
Raynauds_MM_birm_cam,x,CPRD_RAYNAUDS,Raynauds Disease,Raynauds Disease,Raynauds Disease,raynauds,Circulatory System Diagnoses,,
,Apparently used to be a code called ReactiveArthropathy_PriyankaC but I can't find it,CPRD_REACTIVE,Reactive Arthritis,Reactive Arthritis,Reactive Arthritis,reactive,Musculoskeletal Diagnoses,,
,,CPRD_RDN,Respiratory Distress of the Newborn,Respiratory Distress of the Newborn,Respiratory Distress of the Newborn,rdn,Perinatal Conditions,,
CPRDAurum_Respiratory_Failure_Vet,x,CPRD_RESP_FAILURE,Respiratory Failure,Respiratory Failure,Respiratory Failure,resp_fail,Respiratory System Diagnoses,,
